date,apple,samsung,smartphone,isPartial
2018-01-30 14:00:00,23,36,6,False
2018-01-30 15:00:00,24,32,12,False
2018-01-30 16:00:00,13,42,0,False
2018-01-30 17:00:00,13,34,0,False
2018-01-30 18:00:00,14,29,0,False
2018-01-30 19:00:00,15,42,3,False
2018-01-30 20:00:00,19,46,4,False
2018-01-30 21:00:00,24,34,0,False
2018-01-30 22:00:00,19,28,0,False
2018-01-30 23:00:00,34,33,0,False
2018-01-31 00:00:00,15,57,0,False
2018-01-31 01:00:00,27,24,0,False
2018-01-31 02:00:00,39,0,0,False
2018-01-31 03:00:00,0,65,0,False
2018-01-31 04:00:00,0,51,0,False
2018-01-31 05:00:00,0,0,34,False
2018-01-31 06:00:00,17,30,12,False
2018-01-31 07:00:00,10,23,0,False
2018-01-31 08:00:00,22,19,6,False
2018-01-31 09:00:00,16,23,4,False
2018-01-31 10:00:00,16,28,5,False
2018-01-31 11:00:00,23,30,3,False
2018-01-31 12:00:00,18,32,17,False
2018-01-31 13:00:00,20,28,2,False
2018-01-31 14:00:00,17,39,0,False
2018-01-31 15:00:00,20,33,0,False
2018-01-31 16:00:00,15,31,0,False
2018-01-31 17:00:00,14,31,3,False
2018-01-31 18:00:00,19,41,2,False
2018-01-31 19:00:00,15,41,0,False
2018-01-31 20:00:00,15,36,3,False
2018-01-31 21:00:00,19,45,2,False
2018-01-31 22:00:00,17,45,4,False
2018-01-31 23:00:00,16,49,18,False
2018-02-01 00:00:00,0,38,11,False
